ref,total-cost,answer
question-mission12-agent0-explanation,206,yes
question-mission85-agent0-explanation,108,yes
question-mission26-agent0-explanation,173,yes
question-mission74-agent2-explanation,199,no
question-mission13-agent0-explanation,393,yes
question-mission95-agent0-explanation,108,yes
question-mission75-agent0-explanation,335,yes
question-mission54-agent0-explanation,303,yes
question-mission24-agent0-explanation,324,yes
question-mission94-agent0-explanation,108,yes
question-mission37-agent0-explanation,314,yes
question-mission10-agent0-explanation,506,yes
question-mission25-agent2-explanation,205,no
question-mission82-agent0-explanation,108,yes
question-mission52-agent7-explanation,225,no
question-mission11-agent0-explanation,203,yes
question-mission34-agent1-explanation,194,no
question-mission84-agent0-explanation,108,yes
question-mission14-agent0-explanation,167,yes
question-mission48-agent6-explanation,170,no
question-mission35-agent0-explanation,314,yes
question-mission92-agent0-explanation,108,yes
question-mission15-agent0-explanation,486,yes
question-mission31-agent6-explanation,403,no
question-mission45-agent7-explanation,220,no
question-mission81-agent0-explanation,108,yes
question-mission69-agent0-explanation,221,yes
question-mission5-agent0-explanation,249,yes
question-mission46-agent7-explanation,236,no
question-mission91-agent0-explanation,108,yes
question-mission63-agent8-explanation,339,no
question-mission64-agent1-explanation,301,no
question-mission56-agent0-explanation,264,yes
question-mission83-agent0-explanation,108,yes
question-mission79-agent0-explanation,307,yes
question-mission8-agent0-explanation,357,yes
question-mission57-agent0-explanation,222,yes
question-mission93-agent0-explanation,108,yes
question-mission47-agent6-explanation,223,no
question-mission6-agent1-explanation,276,no
question-mission58-agent4-explanation,280,no
question-mission88-agent0-explanation,216,yes
question-mission41-agent0-explanation,257,yes
question-mission65-agent2-explanation,326,no
question-mission59-agent4-explanation,708,no
question-mission80-agent0-explanation,108,yes
question-mission42-agent7-explanation,709,no
question-mission66-agent0-explanation,875,yes
question-mission67-agent2-explanation,167,no
question-mission87-agent0-explanation,108,yes
question-mission43-agent0-explanation,146,yes
question-mission3-agent3-explanation,173,no
question-mission68-agent0-explanation,703,yes
question-mission90-agent0-explanation,108,yes
question-mission20-agent3-explanation,530,no
question-mission44-agent6-explanation,669,no
question-mission78-agent2-explanation,382,no
question-mission86-agent0-explanation,216,yes
question-mission7-agent0-explanation,342,yes
question-mission32-agent0-explanation,304,yes
question-mission9-agent1-explanation,561,no
question-mission89-agent0-explanation,108,yes
question-mission23-agent0-explanation,207,yes
question-mission36-agent6-explanation,573,no
