HIT ID,HITType ID,Assignment ID,Worker ID,Total Time (seconds),question0-ref,question0-total-cost,question0-answer,question0-confidence,question0-elapsedTime,question1-ref,question1-total-cost,question1-answer,question1-confidence,question1-elapsedTime,question2-ref,question2-total-cost,question2-answer,question2-confidence,question2-elapsedTime,question3-ref,question3-total-cost,question3-answer,question3-confidence,question3-elapsedTime
3H6W48L9F6OEFV7M7ZQ6UCDIJPTPWC,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,37Q970SNZH7LE655SUAHKBOO7Z7S11,A2TBXASXZIRNNW,1401,question-mission59-agent4,313,yes,fairly,22331,question-mission80-agent0,108,yes,completely,7777,question-mission42-agent7,673,no,fairly,18450,question-mission66-agent0,676,yes,fairly,27725
3SU800BH88RMN3JWCCQUCTIV354UQ9,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,33M4IA01QJ0H3SQLKYVJPANTQC3RX4,A2TBXASXZIRNNW,937,question-mission45-agent7,224,yes,fairly,30361,question-mission81-agent0,108,yes,completely,9624,question-mission69-agent0,187,no,somewhat,34956,question-mission5-agent0,173,yes,fairly,31508
3U18MJKL1WL5YCP4ATDDET1KRUANC5,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,3SNVL38CI7R7DQ2V3IQZALG5U2LKC2,A2TBXASXZIRNNW,711,question-mission25-agent2,143,yes,fairly,40740,question-mission82-agent0,108,yes,completely,7031,question-mission52-agent7,181,yes,somewhat,18559,question-mission11-agent0,173,yes,somewhat,26885
3NOEP8XAU61T4VCCH4MSWVRPSRZPX5,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,3I2PTA7R3WTB7RCE80RUUQ5MYHMKQ7,A2TBXASXZIRNNW,1693,question-mission56-agent0,206,yes,fairly,18042,question-mission83-agent1,356,no,fairly,19574,question-mission79-agent0,252,yes,somewhat,20281,question-mission8-agent0,209,yes,fairly,22578
3TFJJUELSJO99Q0BOAFTM5YMGZK2CU,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,3X66WABAJZHEY4ATKYUJJQKIH8RG3X,A2TBXASXZIRNNW,820,question-mission34-agent1,198,yes,fairly,51333,question-mission84-agent0,108,yes,completely,9372,question-mission14-agent0,154,yes,fairly,22397,question-mission48-agent6,163,no,somewhat,24789
36BTXXLZ2X7NI64HALOC4FU60EJ4RY,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,3OS46CRSLIYWDKN6SVR3QUZCEEHV67,A2TBXASXZIRNNW,1760,question-mission12-agent0,155,yes,fairly,19019,question-mission85-agent0,108,yes,completely,8915,question-mission26-agent0,158,yes,fairly,16262,question-mission74-agent2,187,yes,fairly,14306
367O8HRHKI7ZJL4UPAOHUPZ2MG24SM,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,3COPXFW7XEBQ7FBZ8NC5ULFCTL0KPG,A2TBXASXZIRNNW,1605,question-mission78-agent2,211,yes,fairly,15796,question-mission86-agent1,226,no,fairly,15168,question-mission7-agent0,156,yes,fairly,17032,question-mission32-agent0,177,yes,fairly,12904
3VEI3XUCZTW97ZQ085G07D51RAERPB,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,3MX2NQ3YCCTSY5SNNRIGM9IXYUEX5W,A2TBXASXZIRNNW,595,question-mission67-agent2,163,yes,fairly,27171,question-mission87-agent1,166,no,fairly,22032,question-mission43-agent0,138,no,fairly,16229,question-mission3-agent3,155,yes,fairly,18087
36U4VBVNQQCMZ4YWPRFUHJS0ZR6URA,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,3Z9WI9EOZ2NYUYDBPA40LCDL7UQHK8,A2TBXASXZIRNNW,1468,question-mission58-agent4,133,yes,fairly,15921,question-mission88-agent1,156,no,fairly,16019,question-mission41-agent0,135,no,somewhat,16015,question-mission65-agent2,169,yes,fairly,15048
322ZSN9Z5IJ0YLH9EAT74UVOOZG4TB,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,3AMW0RGHOG1RFLW2504LMDWGNG5PNQ,A2TBXASXZIRNNW,361,question-mission9-agent1,267,yes,fairly,141081,question-mission89-agent0,108,yes,completely,41338,question-mission23-agent0,270,yes,fairly,39465,question-mission36-agent6,185,no,slightly,29768
3P458N04Q3GXCOB6F6BG0IJWHH7X2Q,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,3OSWBBLG1HWN2I7G2X0ZKL6PBBCXD4,A2TBXASXZIRNNW,1042,question-mission68-agent0,565,yes,somewhat,27644,question-mission90-agent1,842,no,fairly,22977,question-mission20-agent3,963,yes,fairly,27412,question-mission44-agent6,1003,no,somewhat,23192
3SNR5F7R94SSH9YR946GZ956Q7TIED,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,3EKVH9QME13M124JE8F6UVCTY2BD29,A2TBXASXZIRNNW,1232,question-mission46-agent7,226,yes,fairly,28057,question-mission91-agent1,262,no,fairly,18647,question-mission63-agent8,111,no,fairly,17739,question-mission64-agent1,189,yes,fairly,24532
3JMQI2OLF14F34VIAP8OYZJ2CUMND5,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,3DBQWDE4Y9XNMBEJLLV7O7RZWG4N52,A2TBXASXZIRNNW,497,question-mission35-agent0,304,yes,fairly,57380,question-mission92-agent0,108,yes,completely,15719,question-mission15-agent0,359,yes,fairly,30776,question-mission31-agent6,311,no,fairly,22199
36QZ6V158BCY0JY94GFZ7TXWLTPUSY,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,3N1FSUEFL8ZW4GJ6IMYUNA9RIG7D45,A2TBXASXZIRNNW,1531,question-mission57-agent0,151,yes,fairly,18315,question-mission93-agent0,108,yes,completely,7153,question-mission47-agent6,186,yes,fairly,15733,question-mission6-agent1,210,yes,fairly,13952
3XDJY5RK5UKFYYWYEFJH9QHQ7DN4U2,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,3S06PH7KSU3FCHMNV4FSPC2O6WXD1S,A2TBXASXZIRNNW,1136,question-mission24-agent0,667,no,fairly,25363,question-mission94-agent0,550,no,fairly,15290,question-mission37-agent0,772,yes,fairly,21268,question-mission10-agent0,512,yes,fairly,25794
31SIZS5W5BEU7BRF8IVP7IVBW60RQ2,3PCDMC3F670H2FKP9YGXKYCMV2F2XT,3V0Z7YWSI1Z8VJ455TF00HI0Y9FV2Q,A2TBXASXZIRNNW,1308,question-mission13-agent0,149,yes,fairly,24633,question-mission95-agent0,108,yes,completely,10278,question-mission75-agent0,289,yes,fairly,20835,question-mission54-agent0,257,yes,fairly,15361
