HIT Index,HIT ID,HITType ID,Assignment ID,Worker ID,Total Time (seconds),question0-ref,question0-total-cost,question0-answer,question0-confidence,question0-elapsedTime,question1-ref,question1-total-cost,question1-answer,question1-confidence,question1-elapsedTime,question2-ref,question2-total-cost,question2-answer,question2-confidence,question2-elapsedTime,question3-ref,question3-total-cost,question3-answer,question3-confidence,question3-elapsedTime
0,3BA7SXOG1LPO17RJMOEPLRAB3IOR82,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3PWWM24LHVXAK78SX04Q83YSQOR28Y,A7P3R1AIA4TVV,1106,question-mission12-agent0,181,yes,fairly,97353,question-mission85-agent0,108,yes,completely,14373,question-mission26-agent0,155,no,completely,39149,question-mission74-agent2,159,yes,somewhat,146259
0,3BA7SXOG1LPO17RJMOEPLRAB3IOR82,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3GFK2QRXXCGD95NXDMMUKQ4QS5L5WH,A1SIUJEL2LS8UO,1164,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,question-mission74-agent2,211,yes,somewhat,91468
0,3BA7SXOG1LPO17RJMOEPLRAB3IOR82,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,35BLDD71I9WY1U7HU0OENSS7MVTVZ6,A272X64FOZFYLB,722,question-mission12-agent0,206,yes,fairly,183265,question-mission85-agent0,108,yes,completely,60012,question-mission26-agent0,173,yes,fairly,80461,question-mission74-agent2,199,yes,fairly,73092
0,3BA7SXOG1LPO17RJMOEPLRAB3IOR82,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3WOKGM4L74F69PSUPUP8M1VD8WUO0O,A1DMXEJGJY02E1,721,question-mission12-agent0,189.8,no,completely,127270,question-mission85-agent0,108,yes,completely,36854,question-mission26-agent0,155,no,somewhat,80468,question-mission74-agent2,199,yes,fairly,24337
1,3UOMW19E6F518NJY6THRKC1Y1RRC5M,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3P4RDNWND853F9IDD7M9K9ENVWLIJE,A38Z99XF4NDNH0,471,question-mission13-agent0,186,no,slightly,93320,question-mission95-agent0,138,yes,somewhat,25818,question-mission75-agent0,181,no,completely,35327,question-mission54-agent0,303,no,completely,62365
1,3UOMW19E6F518NJY6THRKC1Y1RRC5M,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3HRMW88U19PI9M7ICEAVUX68DWYM0Q,A1K5ILJMG439M5,1051,question-mission13-agent0,393,yes,somewhat,260413,question-mission95-agent0,108,yes,fairly,61612,question-mission75-agent0,335,yes,somewhat,139476,question-mission54-agent0,303,no,slightly,90964
1,3UOMW19E6F518NJY6THRKC1Y1RRC5M,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3QBD8R3Z24IN8DAV8VCAY4LQP9MO4I,A19ZWBQT8A3LIR,562,question-mission13-agent0,393,yes,somewhat,144179,question-mission95-agent0,108,yes,fairly,36361,question-mission75-agent0,335,yes,somewhat,84381,question-mission54-agent0,116,yes,completely,36286
2,3W1K7D6QSDGG5WBHZHSCYW2BK52BZO,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3OVHNO1VE90C7D7V3FOKH6M0MQKZDA,A3MLUEOP3CCLXL,591,question-mission24-agent0,324,no,somewhat,87952,question-mission94-agent0,550,no,completely,39722,question-mission37-agent0,314,yes,fairly,41108,question-mission10-agent0,506,no,somewhat,35379
2,3W1K7D6QSDGG5WBHZHSCYW2BK52BZO,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,3HL8HNGX480UZ63EQNPBSINSJ0H9FL,A1FYWSPNO7KN1O,945,question-mission24-agent0,324,yes,fairly,131234,question-mission94-agent0,108,yes,completely,30489,question-mission37-agent0,314,yes,completely,78700,question-mission10-agent0,506,yes,fairly,66904
2,3W1K7D6QSDGG5WBHZHSCYW2BK52BZO,35280GTXAPQ35X4ZWHDC3QI4GWDOVS,323Q6SJS8LFNECLXOZD35ZLG2DVFHN,A38NFX88VZDMJ3,1510,question-mission24-agent0,324,yes,fairly,323774,question-mission94-agent0,108,yes,completely,45135,question-mission37-agent0,314,no,slightly,88289,question-mission10-agent0,506,yes,fairly,67430
